Month,PM2.5,PM10,O3,SO2,NO2,CO,APM2.5,APM10,AO3,ASO2,ANO2,ACO,quality.level
7,53,42,70,5,33,13,46.67,41.00,72.33,5.00,31.33,17.00,Good
7,48,29,19,4,49,20,42.33,28.33,23.67,5.00,49.00,23.00,Excellent
7,72,47,96,4,34,15,72.00,48.00,107.00,4.67,35.00,18.00,Good
7,84,59,115,5,45,15,56.33,44.33,109.00,5.00,33.67,15.00,Slight_pollution
7,38,43,94,6,30,13,34.33,39.33,91.00,5.67,29.67,14.33,Good
7,45,36,84,5,25,15,45.67,34.33,63.33,5.33,33.00,18.00,Good
7,73,53,169,5,24,15,65.67,47.33,130.67,6.33,37.67,17.00,Moderate_Pollution
7,87,55,152,5,39,13,79.00,50.33,132.00,5.67,35.33,16.00,Moderate_Pollution
7,45,39,57,4,30,13,52.33,40.33,73.00,5.33,31.67,16.00,Good
7,72,52,117,5,53,15,56.33,45.67,101.67,5.67,40.67,15.00,Slight_pollution
7,29,30,88,5,29,10,21.67,24.33,70.67,5.33,25.33,11.00,Good
7,16,25,49,4,17,8,12.67,20.33,42.00,5.00,15.67,10.00,Excellent
7,15,29,33,4,18,8,14.00,24.33,30.00,4.67,17.33,11.00,Excellent
8,18,29,61,5,17,8,13.33,22.33,57.00,5.00,15.67,11.00,Good
8,22,33,71,5,17,8,18.00,26.33,53.67,5.33,16.67,10.00,Good
8,15,26,36,5,14,8,12.33,22.67,32.33,5.33,13.67,10.00,Excellent
8,10,24,27,3,10,8,9.67,21.67,27.00,4.33,11.33,10.00,Excellent
8,16,20,36,4,20,10,13.67,20.67,34.67,4.67,20.00,12.00,Excellent
8,38,43,87,6,42,13,37.00,39.33,82.00,5.33,34.00,14.33,Good
8,29,36,71,7,32,10,26.33,30.00,71.00,6.00,26.33,13.00,Good
8,40,44,100,7,25,13,36.00,36.33,90.33,5.33,21.67,14.33,Good
8,36,36,70,6,33,13,32.67,32.67,68.00,5.33,33.00,14.33,Good
8,29,34,74,6,29,10,24.00,28.67,65.67,5.67,27.00,11.00,Good
8,23,34,70,6,29,8,20.67,28.00,66.33,5.67,25.00,11.00,Good
8,32,41,100,6,30,10,27.67,33.67,96.67,6.00,27.00,12.67,Good
8,39,45,101,6,38,10,38.67,42.33,117.00,6.33,32.67,13.67,Slight_pollution
8,25,30,89,7,27,10,21.67,26.00,83.67,5.67,23.67,11.67,Good
8,26,36,96,6,20,8,24.00,29.67,88.67,6.00,21.00,11.00,Good
8,35,42,67,7,20,8,37.00,41.33,57.00,6.67,20.00,11.00,Good
8,42,47,65,7,18,8,39.67,42.67,54.00,6.33,18.67,12.67,Good
8,36,40,74,6,22,8,35.33,36.67,63.33,6.33,21.33,12.00,Good
8,39,41,81,6,28,10,35.33,36.67,72.00,6.33,26.00,11.00,Good
8,32,33,55,5,22,8,32.33,31.67,50.67,5.33,19.67,11.67,Good
8,33,36,47,5,24,8,34.00,34.67,42.00,5.67,23.00,11.00,Excellent
8,32,34,48,5,24,8,31.33,31.67,38.33,6.00,23.00,11.00,Excellent
8,25,28,49,6,25,8,22.00,23.67,36.67,5.00,23.33,11.00,Excellent
8,22,34,87,8,29,10,20.33,31.33,77.00,6.00,28.67,13.00,Good
8,30,40,84,8,18,15,33.00,39.33,77.00,5.33,24.33,17.00,Good
