Month,PM2.5,PM10,O3,SO2,NO2,CO,APM2.5,APM10,AO3,ASO2,ANO2,ACO,quality.level
12,73,74,48,9,90,18,62.00,68.33,56.67,7.67,75.33,14.33,Good
12,52,40,26,6,55,13,53.00,43.00,28.33,5.67,57.00,13.67,Good
12,79,47,12,7,72,20,70.00,40.67,13.00,6.00,72.00,19.33,Good
12,36,24,29,6,43,18,32.50,25.33,25.33,5.00,52.00,18.00,Excellent
12,20,55,26,5,49,10,20.00,52.67,30.00,5.33,49.00,10.00,Good
12,18,22,29,4,37,10,16.00,20.00,28.67,5.33,46.33,12.00,Excellent
12,33,30,27,5,34,13,32.50,28.67,23.67,5.33,43.33,14.33,Excellent
12,38,40,22,9,38,15,38.50,38.67,20.33,7.00,45.00,16.00,Excellent
12,46,39,15,8,52,15,47.00,37.00,16.33,6.67,57.00,18.67,Good
12,13,13,19,5,48,10,14.00,14.00,25.33,5.00,43.67,12.67,Excellent
12,32,23,27,5,37,13,29.50,20.67,25.33,5.00,43.33,15.33,Excellent
12,104,64,24,13,60,28,109.50,65.67,23.33,10.67,65.67,28.67,Slight_pollution
12,113,71,28,18,98,33,116.00,71.67,23.00,13.33,96.67,30.33,Slight_pollution
12,26,36,10,9,80,13,28.00,33.67,17.33,6.33,70.00,10.00,Good
12,100,63,30,10,67,25,103.00,67.00,28.33,13.00,75.00,25.33,Good
12,128,77,35,14,75,25,116.50,82.00,35.33,14.67,91.33,23.33,Slight_pollution
12,112,86,29,19,105,28,113.00,85.00,30.33,13.00,103.33,24.33,Slight_pollution
12,92,81,8,16,110,23,81.50,76.00,15.33,11.33,105.33,19.33,Slight_pollution
12,58,54,23,10,95,20,54.50,49.00,18.33,6.33,95.67,18.67,Good
12,72,54,6,9,93,23,69.00,57.50,5.67,6.33,94.00,22.67,Good
12,57,24,24,6,59,20,52.50,23.50,18.00,4.67,67.67,18.00,Good
12,88,59,40,8,40,23,78.50,53.50,39.67,6.33,42.67,20.00,Good
12,54,58,30,9,64,20,54.50,55.50,35.00,6.67,60.00,16.00,Good
12,19,15,27,7,43,15,19.00,13.50,28.67,4.67,42.00,12.67,Excellent
12,23,34,29,7,28,13,24.67,35.50,30.33,5.33,29.67,10.33,Excellent
12,43,49,27,11,32,18,42.00,45.00,27.00,7.00,34.00,13.67,Excellent
12,53,52,26,13,42,20,50.67,49.00,23.00,9.00,48.33,20.33,Good
12,50,42,18,12,47,20,47.33,37.50,14.33,7.67,53.00,18.33,Excellent
12,53,37,23,10,44,23,48.33,36.00,20.33,6.00,46.67,18.33,Good
1,50,39,29,10,35,18,46.67,39.33,28.67,6.67,37.33,15.33,Excellent
1,103,64,24,15,54,25,98.67,66.00,23.00,11.00,64.33,25.33,Slight_pollution
1,87,60,12,11,85,23,80.00,57.33,21.33,8.00,77.33,20.00,Good
1,46,26,14,6,68,15,40.00,29.00,19.33,6.33,67.33,16.00,Good
1,48,26,13,5,57,20,42.00,27.67,11.67,5.33,68.00,20.33,Good
1,46,31,18,5,58,23,43.33,33.00,16.33,5.67,66.00,22.00,Good
1,50,39,10,5,77,20,44.00,35.33,14.33,5.33,72.33,17.00,Good
1,85,53,28,8,48,20,75.33,53.33,29.00,7.67,57.67,20.33,Good
1,42,27,17,6,63,18,40.33,29.00,18.67,6.33,63.67,15.00,Good
1,33,21,7,5,65,15,29.33,19.33,9.67,5.00,73.33,13.67,Good
1,67,44,8,8,63,25,54.67,40.00,8.67,6.67,69.33,25.33,Good
1,113,65,18,8,73,28,95.33,63.33,17.67,6.67,78.33,26.67,Slight_pollution
1,114,69,24,8,97,25,97.00,65.67,31.33,6.67,89.67,23.67,Slight_pollution
1,148,73,41,8,63,28,129.67,73.00,40.00,8.00,72.33,26.00,Slight_pollution
1,50,55,25,9,45,18,46.33,54.00,25.00,7.00,56.33,15.00,Good
1,107,82,25,13,84,28,99.33,80.67,24.00,11.33,91.33,25.33,Slight_pollution
1,123,79,40,13,92,23,116.33,78.33,46.00,13.33,83.00,23.33,Slight_pollution
1,123,75,15,11,92,23,109.33,72.33,27.00,8.67,85.00,23.67,Slight_pollution
1,140,72,35,12,59,25,131.33,73.33,36.33,10.00,61.00,23.00,Slight_pollution
1,69,56,34,11,64,18,66.33,57.33,31.33,10.00,74.67,15.33,Good
1,113,72,41,15,79,23,113.67,76.33,40.00,14.33,90.67,21.00,Slight_pollution
1,125,79,46,14,102,23,124.00,81.00,45.33,12.33,104.00,23.67,Slight_pollution
1,155,86,40,15,114,28,144.00,81.00,55.67,12.00,105.33,25.33,Moderate_Pollution
1,64,49,41,10,74,15,55.67,45.00,41.00,7.67,67.33,13.67,Good
1,28,36,35,5,32,10,23.67,35.33,31.67,5.33,35.00,9.33,Excellent
1,35,41,44,7,58,13,29.67,39.67,43.67,6.00,52.67,12.00,Good
1,84,55,17,9,80,20,74.00,52.00,16.00,8.00,81.00,19.67,Good
1,93,63,26,8,72,23,81.67,59.00,32.33,6.33,66.33,19.33,Good
1,48,52,16,8,65,13,50.00,51.33,27.67,6.33,62.33,14.33,Good
1,26,22,40,5,20,13,25.33,24.00,38.33,4.67,25.33,12.00,Excellent
2,88,58,43,6,28,20,87.67,58.33,40.67,5.00,30.67,20.33,Good
2,78,55,45,8,28,20,70.33,55.67,46.00,6.00,26.67,17.67,Good
2,103,58,23,8,34,30,93.33,57.00,22.67,6.67,34.00,27.67,Slight_pollution
2,125,89,45,8,28,28,114.67,86.33,44.00,7.00,28.67,24.33,Slight_pollution
2,33,58,42,8,23,15,30.33,57.33,40.00,6.00,25.67,10.00,Good
2,68,51,44,7,23,23,57.67,44.33,43.67,5.67,25.67,18.67,Good
2,43,36,41,6,14,18,36.67,34.67,38.33,5.33,17.67,15.00,Excellent
2,20,21,38,5,17,13,18.33,21.00,35.00,4.67,20.67,12.00,Excellent
2,22,19,39,5,13,13,18.00,17.67,35.33,5.00,18.33,13.67,Excellent
2,30,25,37,5,17,15,26.00,24.33,32.33,5.00,21.33,14.67,Excellent
2,36,27,34,7,28,15,34.00,27.00,30.67,6.33,28.33,17.00,Excellent
2,52,33,29,6,47,18,37.33,27.33,32.33,5.33,34.00,16.00,Good
2,39,33,42,6,29,18,33.00,31.67,42.67,4.67,25.33,16.00,Excellent
2,39,35,41,6,37,15,35.33,34.00,44.00,4.67,28.33,17.00,Excellent
2,25,14,32,6,40,10,25.33,13.67,31.33,5.00,43.67,13.67,Excellent
2,60,53,39,7,27,15,58.33,53.67,34.33,6.33,30.00,16.00,Good
2,43,42,40,9,33,15,34.33,36.00,42.00,6.67,26.33,12.00,Excellent
2,30,17,25,6,53,10,25.00,15.67,31.00,4.67,39.00,10.33,Good
2,48,26,20,7,53,20,43.00,23.33,20.67,6.00,51.00,18.67,Good
2,73,38,25,7,55,18,59.33,29.00,19.00,5.00,61.33,19.33,Good
2,85,53,38,7,50,18,73.33,50.00,38.00,5.67,47.67,17.00,Good
2,79,48,34,7,44,20,69.00,41.67,32.00,5.33,47.67,18.67,Good
2,183,80,36,12,67,30,170.33,77.67,33.67,9.67,74.33,29.33,Moderate_Pollution
2,156,74,74,12,83,28,165.00,74.67,53.33,10.33,89.00,28.67,Moderate_Pollution
2,130,65,45,10,97,25,131.33,63.00,32.67,8.33,89.33,24.33,Slight_pollution
2,67,47,40,8,63,15,60.00,39.33,46.00,6.67,52.67,12.00,Good
2,45,41,29,8,59,13,40.00,33.67,31.00,6.00,61.00,13.00,Good
2,55,43,37,8,55,13,52.67,41.00,33.00,7.33,61.67,13.00,Good
3,122,70,39,9,102,20,118.00,67.33,44.67,6.67,83.00,19.33,Slight_pollution
3,78,45,37,7,65,18,75.67,42.00,45.00,5.33,62.33,18.67,Good
3,108,65,46,11,50,23,104.67,63.67,45.33,8.33,64.00,22.67,Slight_pollution
3,130,71,66,10,57,20,128.33,70.33,59.00,8.33,54.33,22.00,Slight_pollution
3,114,57,43,8,67,18,106.33,54.67,50.00,6.33,53.67,18.67,Slight_pollution
3,107,57,65,8,50,18,96.33,55.00,59.00,5.67,52.33,20.00,Slight_pollution
3,100,68,67,7,39,15,98.33,62.33,62.00,6.00,42.33,17.00,Good
3,33,49,42,8,58,8,29.33,41.67,50.00,5.33,48.00,10.33,Good
3,57,36,35,7,55,13,54.67,32.67,27.00,5.00,71.67,15.33,Good
3,85,55,25,8,53,18,82.67,53.00,23.67,5.67,64.67,19.33,Good
3,95,79,80,12,65,18,94.33,75.00,74.00,8.33,73.67,21.00,Good
3,97,84,68,14,63,15,100.67,81.33,63.67,9.33,60.00,18.00,Good
3,36,61,40,8,54,10,30.67,57.67,46.33,6.33,45.67,11.00,Good
3,39,35,45,8,53,13,31.33,31.33,47.67,5.67,47.67,11.00,Good
3,69,56,65,11,59,15,69.33,55.00,59.33,8.67,61.00,14.33,Good
3,64,63,83,10,68,15,60.33,60.33,83.00,8.67,55.67,14.33,Good
3,119,70,95,13,74,20,111.00,67.33,95.67,11.00,70.67,18.67,Slight_pollution
3,54,25,48,7,43,13,46.33,23.00,52.33,5.33,35.67,11.00,Good
3,48,31,72,7,54,13,43.33,27.67,70.67,5.67,44.00,11.00,Good
3,52,46,59,9,35,15,45.67,44.33,62.67,6.67,40.33,17.00,Good
3,85,48,40,8,40,18,75.00,46.00,41.33,5.67,49.33,21.00,Good
3,25,33,43,5,24,8,24.33,36.33,38.67,5.33,35.00,12.67,Excellent
3,39,41,53,8,43,13,34.33,37.00,50.00,7.00,45.00,13.00,Good
